root	misc	adj-to-adv	adj-to-comparative	adj-to-noun	noun-to-plural	verb-to-gerund	verb-to-past-and-participle	verb-to-third-person
dessertspoonful					dessertspoonfuls			
destabilize	destabilized,destabilizes,destabilizing					destabilizing	destabilized	
destain						destaining	destained	destains
destination	destinations				destinations			
destine						destining	destined	destines
destiny	destinies				destinies			
destitute		destitutely						
destress							destressed	
destroy	destroyed,destroying,destroys					destroying	destroyed	destroys
destroyer	destroyers				destroyers			
destruct						destructing	destructed	destructs
destruction					destructions			
destructive		destructively		destructivity				
desuetude					desuetudes			
desulfurize						desulfurizing	desulfurized	
desulphurize						desulphurizing	desulphurized	
desultory		desultorily		desultoriness				
desynchronize						desynchronizing		
detach	detached,detaches,detaching					detaching	detached	detaches,detachs
detachable		detachably						
detached		detachedly						
detachment	detachments				detachments			
detail	detailed,detailing,details					detailing	detailed	details
detailed		detailedly						
detain	detained,detaining,detains					detaining	detained	detains
detainee	detainees				detainees			
detassel	detasseled,detasseling,detasselled,detasselling							
detect	detected,detecting,detects					detecting	detected	detects
detectable		detectably						
detection					detections			
detective	detectives				detectives			
detector	detectors				detectors			
detent					detents			
detente					detentes			
detention	detentions							
deter	deterred,deterring,deters					detering,deterring	deterred	deters
deterge						deterging	deterged	deterges
detergent	detergents			detergence	detergents			
deteriorate	deteriorated,deteriorates,deteriorating					deteriorating	deteriorated	deteriorates
deterioration					deteriorations			
determent					determents			
determinable		determinably						
determinant	determinants				determinants			
determinate		determinately						
determination	determinations				determinations			
determinative		determinatively						
determine	determined,determines,determining					determining	determined	determines
determined		determinedly						
determiner	determiners				determiners			
determinist					determinists			
deterministic		deterministically						
deterrent	deterrents	deterrently		deterrence	deterrents			
detersive		detersively						
detest	detested,detesting,detests					detesting	detested	detests
detestable		detestably						
detestation					detestations			
dethrone	dethroned,dethrones,dethroning					dethroning	dethroned	dethrones
dethronement					dethronements			
detick						deticking	deticked	deticks
detonate	detonated,detonates,detonating					detonating	detonated	detonates
detonation	detonations				detonations			
detonator	detonators				detonators			
detour	detoured,detouring,detours				detours	detouring	detoured	detours
detox	detoxed,detoxes,detoxing							
detoxicate						detoxicating	detoxicated	
detoxify	detoxified,detoxifies,detoxifying					detoxifying	detoxified	detoxifies
detract	detracted,detracting,detracts					detracting	detracted	detracts
detraction					detractions			
detractive		detractively						
detractor	detractors				detractors			
detrain	detrained,detraining,detrains					detraining	detrained	detrains
detribalize						detribalizing	detribalized	
detriment					detriments			
detrimental		detrimentally		detrimentality				
deuce	deuces				deuces			
deuced		deucedly						
deuteron					deuterons			
deutschmark	deutschmarks							
deutzia					deutzias			
devaluate						devaluating	devaluated	devaluates
devaluation					devaluations			
devalue	devalued,devalues,devaluing					devaluing	devalued	devalues
devastate	devastated,devastates,devastating					devastating	devastated	devastates
devastating		devastatingly						
devastation					devastations			
devein						deveining	deveined	deveins
develop	developed,developing,develops					developing	developed	develops
developer	developers				developers			
development	developments				developments			
developmental		developmentally						
devi	devis							
deviance					deviances			
deviant	deviants			deviance	deviants			
deviate	deviated,deviates,deviating	deviately			deviates	deviating	deviated	deviates
deviation	deviations				deviations			
device	devices							
devil	devilled,devils				devils	deviling,devilling	devilled	devils
devilfish					devilfishes			
devilish		devilishly						
devilize						devilizing	devilized	
devilment					devilments			
devilry					devilries			
deviltry					deviltries			
devious		deviously						
devisal					devisals			
devise	devised,devises,devising				devises	devising	devised	devises
devisee					devisees			
deviser					devisers			
devising					devisings			
devisor					devisors			
devitalise						devitalising	devitalised	
devitalize						devitalizing	devitalized	devitalizes
devitrify						devitrifying	devitrified	
devoice	devoiced,devoices,devoicing					devoicing	devoiced	devoices
devoir					devoirs			
devolve	devolved,devolves,devolving					devolving	devolved	devolves
devolvement					devolvements			
devon					deva,devons			
devote	devoted,devotes,devoting					devoting	devoted	devotes
devoted		devotedly						
devotee	devotees				devotees			
devotion					devotions			
devotional		devotionally		devotionality				
devour	devoured,devouring,devours					devouring	devoured	devours
devourer					devourers			
devouring		devouringly						
devout		devoutly						
dew					dews			
dewberry					dewberries			
dewdrop	dewdrops				dewdrops			
dewlap	dewlaps				dewlaps			
dewy		dewily	dewier,dewiest	dewiness				
dexter				dexterity				
dexterous		dexterously						
dextral		dextrally		dextrality				
dextrin					dextrins			
dextrorse		dextrorsely						
dextrose					dextroses			
dextrous		dextrously						
dhak					dhaks			
dhal	dhals							
dhansak	dhansaks							
dharma					dharmas			
dhobi	dhobis							
dhole					dholes			
dhoti					dhotis			
dhow	dhows				dhows			
diabetic	diabetics				diabetics			
diabolic								
diabolical								
diabolise						diabolising	diabolised	
diabolize						diabolizing	diabolized	
diachronic		diachronically						
diacritic	diacritics				diacritics			
diacritical								
diadem	diadems				diadems			
diaeresis	diaereses				diaereses,diaerses			
diagnose	diagnosed,diagnosing					diagnosing	diagnosed	
diagnosis								
diagnostic		diagnostically						
diagnostician					diagnosticians			
diagonal	diagonals	diagonally		diagonality	diagonals			
diagram	diagramed,diagraming,diagrammed,diagramming,diagrams				diagrams	diagraming,diagramming	diagrammed	diagrams
diagrammatic								
diagrammatical								
diakinesis					diakineses			
dial	dialed,dialing,dialled,dialling,dials				dials	dialing,dialling	dialled	dials
dialect	dialects				dialects			
dialectal		dialectally						
dialectic								
dialectical								
dialectology					dialectologies			
dialog					dialogs			
dialogue	dialogues				dialogues			
dialyse						dialysing	dialysed	
dialysis								
dialyze						dialyzing	dialyzed	dialyzes
dialyzer					dialyzers			
diamagnetic		diamagnetically						
diameter	diameters				diameters			
diametral		diametrally						
diametric								
diametrical								
diamine					diamines			
diamond	diamonds				diamonds			
diamondback					diamondbacks			
dianoetic		dianoetically						
dianthus					dianthuses			
diapason					diapasons			
diapedesis					diapedeses			
diaper	diapers				diapers			
diaphanous		diaphanously						
diaphone					diaphones			
diaphoresis					diaphoreses			
diaphoretic					diaphoretics			
diaphragm	diaphragms				diaphragms			
diaphysis	diaphyses				diaphyses			
diapir					diapirs			
diapophysis					diapophyses			
diarchy					diarchies			
diarist	diarists				diarists			
diarrhea					diarrheas			
diarthrosis	diarthroses				diarthroses			
diary	diaries				diaries			
diaspora					diasporas			
diastalsis					diastalses			
diastasis					diastases			
diastema	diastemata				diastemata			
diastole					diastoles			
diathermy					diathermies			
diathesis					diathses			
diatom					diatoms			
diatomic				diatomicity				
diatonic		diatonically						
diatribe	diatribes				diatribes			
diazepam					diazepams			
diazo					diazoes			
diazotize						diazotizing	diazotized	
dib	dibbed,dibbing							
dibber					dibbers			
dibble					dibbles	dibbling	dibbled	dibbles
dibbuk					dibbukkim			
dice	diced,dices,dicing				dices	dicing	diced	dices
dicentra					dicentras			
dicer					dicers			
dicey			dicier,diciest					
dichasium	dichasia				dichasia			
dichotomise						dichotomising	dichotomised	
dichotomize						dichotomizing	dichotomized	
dichotomous		dichotomously						
dichotomy	dichotomies				dichotomies			
dick	dicks				dicks			
dickens					dickenses			
dicker	dickered,dickering,dickers					dickering	dickered	dickers
dickey	dickeys				dickeys			
dickhead	dickheads							
dickie								
dicky								
dicot					dicots			
dicotyledon	dicotyledons				dicotyledons			
dictaphone	dictaphones				dictaphones			
dictate	dictated,dictates,dictating				dictates	dictating	dictated	dictates
dictation	dictations				dictations			
dictator	dictators				dictators			
dictatorial		dictatorially						
dictatorship	dictatorships				dictatorships			
diction					dictions			
dictionary	dictionaries				dictionaries			
dictum	dicta,dictums				dicta			
didactic				didacticity				
didactical				didacticality				
didder						diddering	diddered	
diddle	diddled,diddles,diddling					diddling	diddled	diddles
didgeridoo	didgeridoos							
dido	didoes,didos				didoes			
die	died,dies				dies	dieing	died	dies
dieback					diebacks			
diehard	diehards				diehards			
dielectric					dielectrics			
diemaker					diemakers			
diencephalon					diencephala,diencephalons			
dieresis	diereses				diereses			
diesel	diesels				diesels			
diesis	dieses				dieses			
diestock					diestocks			
diestrum					diestrums			
diestrus					diestruses			
diet	dieted,dieting,diets				diets	dieting	dieted,dietted	diets
dietary		dietarily			dietaries			
dieter					dieters			
dietetic								
dietetical								
dietician					dieticians			
dietitian					dietitians			
differ	differed,differing,differs					differing	differed	differs
difference	differences				differences			
different		differently		difference				
differentia	differentiae				differentiae			
differential	differentials	differentially			differentials			
differentiate	differentiated,differentiates,differentiating					differentiating	differentiated	differentiates
differentiation					differentiations			
differentiator					differentiators			
difficult		difficultly						
difficulty	difficulties				difficulties			
diffident		diffidently		diffidence				
diffract						diffracting	diffracted	diffracts
diffraction					diffractions			
diffuse	diffused,diffuses,diffusing	diffusely	diffuser			diffusing	diffused	diffuses
diffused		diffusedly						
diffuser					diffusers			
diffusion					diffusions			
diffusive		diffusively		diffusivity				
diffusor					diffusors			
dig	digged,digging,digs,dug					digging	dug	digs
digest	digested,digesting,digests				digests	digesting	digested	digests
digester					digesters			
digestible		digestibly						
digestive		digestively						
digger	diggers				diggers			
digicam	digicams							
digit	digits				digits			
digital		digitally						
digitalize						digitalizing	digitalized	
digitate		digitately						
digitise						digitising	digitised	
digitize	digitized,digitizes,digitizing					digitizing	digitized	digitizes
dignified		dignifiedly						
dignify	dignified,dignifies,dignifying					dignifying	dignified	dignifies
dignitary	dignitaries				dignitaries			
dignity					dignities			
digoxin					digoxins			
digraph					digraphs			
digress	digressed,digresses,digressing					digressing	digressed	digresses
digression	digressions				digressions			
digressive		digressively						
dihybrid					dihybrids			
dike	dikes				dikes	diking	diked	dikes
diktat	diktats							
dilapidate						dilapidating	dilapidated	
dilatation					dilatations			
dilate	dilated,dilates,dilating					dilating	dilated	dilates
dilater					dilaters			
dilation					dilations			
dilator					dilators			
dilatory		dilatorily		dilatoriness				
dildo	dildoes,dildos				dildoes,dildos			
dilemma	dilemmas				dilemmas			
dilettante	dilettantes,dilettanti				dilettanti			
diligence					diligences			
diligent		diligently		diligence				
dill					dills			
dillydally	dillydallied,dillydallying					dillydallying	dillydallied	dillydallies
diluent					diluents			
dilute	diluted,dilutes,diluting	dilutely	diluter			diluting	diluted	dilutes
diluted		dilutedly						
dilution					dilutions			
diluvium					diluvia			
dim	dimmed,dimming,dims	dimly	dimmer,dimmest	dimity		dimming	dimmed	dims
dime	dimes				dimes			
dimension	dimensions				dimensions	dimensioning	dimensioned	dimensions
dimensional		dimensionally		dimensionality				
dimer			dimer		dimers			
diminish	diminished,diminishes,diminishing					diminishing	diminished	diminishes
diminishing		diminishingly						
diminuendo	diminuendos				diminuendoes,diminuendos			
diminution	diminutions				diminutions			
diminutive	diminutives	diminutively						
dimity					dimities			
dimmer	dimmers				dimmers			
dimness					dimnesses			
dimorphism					dimorphisms			
dimout					dimouts			
dimple	dimples				dimples	dimpling	dimpled	dimples
dimwit	dimwits				dimwits			
din	dinned,dinning,dins				dins	dinning	dinned	dins
dinar	dinars				dinars			
dine	dined,dines						dined	dines
diner	diners				diners			
dinero					dineros			
dinette	dinettes				dinettes			
ding	dings				dings			dings
dingbat	dingbats				dingbats			
dingdong						dingdonging	dingdonged	dingdongs
dinge						dingeing		
dinghy	dinghies				dinghies			
dingle					dingles			
dingo	dingoes				dingoes			
dingy		dingily	dingier,dingiest	dinginess				
dink	dinks				dinks			
dinkey					dinkeys			
dinky			dinkier,dinkiest		dinkies			
dinner	dinners				dinners			
dinosaur	dinosaurs				dinosaurs			
dint	dints				dints			
diocesan					diocesans			
diocese	dioceses				dioceses			
diode	diodes				diodes			
dioecious		dioeciously						
diol					diols			
diopter					diopters			
dioptre					dioptres			
diorama					dioramas			
diorite					diorites			
dioxide					dioxides			
dioxin	dioxins							
dip	dipped,dipping,dips,dipt				dips	dipping	dipped	dips
diphthong	diphthongs				diphthongs			
diphthongise						diphthongising	diphthongised	
diphthongize						diphthongizing	diphthongized	
diplegia					diplegias			
diplococcus	diplococci				diplococci			
diplodocus					diplodocuses			
diploid					diploids			
diploidy					diploidies			
diploma	diplomas,diplomata				diplomas			
diplomacy					diplomacies			
diplomat	diplomats				diplomats			
diplomate					diplomates			
diplomatic								
diplomatical								
diplomatist					diplomatists			
diplopia					diplopias			
dipody	dipodies							
dipole					dipoles			
dipper	dippers							
dippy			dippier,dippiest					
dipshit	dipshits							
dipsomaniac	dipsomaniacs				dipsomaniacs			
dipstick	dipsticks				dipsticks			
dipteran					dipterans			
diptych	diptychs				diptychs			
dire		direly	direr,direst	dirity				
direct	directed,directing,directs	directly	directer,directest			directing	directed	directs
direction	directions				directions			
directional		directionally		directionality				
directive	directives	directively		directivity	directives			
director	directors				directors			
directorate	directorates				directorates			
directorship	directorships				directorships			
directory	directories				directories			
directrix	directrices,directrixes							
direful		direfully						
dirge	dirges				dirges			
dirham					dirhams			
dirigible	dirigibles				dirigibles			
dirk	dirks				dirks			
dirndl	dirndls				dirndls			
dirt					dirts			
dirty	dirtied,dirties,dirtying	dirtily	dirtier,dirtiest	dirtiness		dirtying	dirtied	dirties
dis					diss			
disability	disabilities				disabilities			
disable	disabled,disables,disabling					disabling	disabled	disables
disabuse	disabused,disabuses,disabusing					disabusing	disabused	disabuses
disaccharide					disaccharides			
disadvantage	disadvantaged,disadvantages,disadvantaging				disadvantages	disadvantaging	disadvantaged	disadvantages
disadvantageous		disadvantageously						
disaffect						disaffecting	disaffected	disaffects
disaffected		disaffectedly						
disaffection					disaffections			
disagree	disagreed,disagreeing,disagrees					disagreeing,disagreing	disagreed	disagrees
disagreeable		disagreeably						
disagreement	disagreements				disagreements			
disallow	disallowed,disallowing,disallows					disallowing	disallowed	disallows
disambiguate	disambiguated,disambiguates,disambiguating					disambiguating	disambiguated	disambiguates
disambiguation					disambiguations			
disappear	disappeared,disappearing,disappears					disappearing	disappeared	disappears
disappearance	disappearances				disappearances			
disappoint	disappointed,disappointing,disappoints					disappointing	disappointed	disappoints
disappointed		disappointedly						
disappointing		disappointingly						
disappointment	disappointments				disappointments			
disapprobation					disapprobations			
disapproval					disapprovals			
disapprove	disapproved,disapproves,disapproving					disapproving	disapproved	disapproves
disapproving		disapprovingly						
disarm	disarmed,disarming,disarms					disarming	disarmed	disarms
disarmer					disarmers			
disarming		disarmingly						
disarrange	disarranged,disarranges,disarranging					disarranging	disarranged	disarranges
disarrangement					disarrangements			
disarray					disarrays	disarraying	disarrayed	disarrays
disarticulate						disarticulating	disarticulated	
disassemble	disassembled,disassembles,disassembling					disassembling	disassembled	disassembles
disassembler	disassemblers							
disassociate								
disaster	disasters				disasters			
disastrous		disastrously						
disavow	disavowed,disavowing,disavows					disavowing	disavowed	disavows
disavowal	disavowals				disavowals			
disband	disbanded,disbanding,disbands					disbanding	disbanded	disbands
disbandment					disbandments			
disbar	disbarred,disbarring,disbars					disbarring	disbarred	disbars
disbarment					disbarments			
disbelief					disbeliefs			
disbelieve	disbelieved,disbelieving					disbelieving	disbelieved	
disbelieving		disbelievingly						
disbud						disbudding	disbudded	disbuds
disburden						disburdening	disburdened	disburdens
disbursal					disbursals			
disburse						disbursing	disbursed	disburses
disbursement	disbursements				disbursements			
disc					discs			
discant					discants			
discard	discarded,discarding,discards				discards	discarding	discarded	discards
discase						discasing	discased	discases
discern	discerned,discerning,discerns					discerning	discerned	discerns
discernable		discernably						
discernible		discernibly						
discerning		discerningly						
discerp						discerping	discerped	
discharge	discharged,discharges,discharging				discharges	discharging	discharged	discharges
disciple	disciples				disciples			
disciplinarian	disciplinarians				disciplinarians			
disciplinary		disciplinarily						
discipline	disciplined,disciplines,disciplining				disciplines	disciplining	disciplined	disciplines
disclaim	disclaimed,disclaiming,disclaims					disclaiming	disclaimed	disclaims
disclaimer	disclaimers				disclaimers			
disclose	disclosed,discloses,disclosing					disclosing	disclosed	discloses
disclosure	disclosures				disclosures			
disco	discoed,discoing,discos				discos			discos
discobolos								
discobolus								
discography	discographies				discographies			
discolor						discoloring	discolored	discolors
discoloration	discolorations				discolorations			
discolour						discolouring	discoloured	
discombobulate						discombobulating	discombobulated	discombobulates
discomfit	discomfited,discomfiting,discomfits					discomfiting	discomfited	discomfits
discomfort	discomforts				discomforts			
discommode						discommoding	discommoded	discommodes
discompose						discomposing	discomposed	discomposes
discomposed		discomposedly						
disconcert	disconcerted,disconcerting,disconcerts					disconcerting	disconcerted	disconcerts
disconcerted		disconcertedly						
disconcerting		disconcertingly						
disconnect	disconnected,disconnecting,disconnects				disconnects	disconnecting	disconnected	disconnects
disconnected		disconnectedly						
disconnection					disconnections			
disconsolate		disconsolately						
discontent					discontents	discontenting	discontented	discontents
discontented		discontentedly						
discontentment					discontentments			
discontinuance					discontinuances			
discontinuation					discontinuations			
discontinue	discontinued,discontinues,discontinuing					discontinuing	discontinued	discontinues
discontinuity	discontinuities				discontinuities			
discontinuous		discontinuously						
discord	discords				discords	discording	discorded	discords
discordant		discordantly		discordance				
discotheque					discotheques			
discount	discounted,discounting,discounts				discounts	discounting	discounted	discounts
discountenance						discountenancing	discountenanced	discountenances
discounter					discounters			
discourage	discouraged,discourages,discouraging					discouraging	discouraged	discourages
discouraged		discouragedly						
discouragement	discouragements				discouragements			
discouraging		discouragingly						
discourse	discoursed,discourses,discoursing				discourses	discoursing	discoursed	discourses
discourteous		discourteously						
discourtesy	discourtesies				discourtesies			
discover	discovered,discovering,discovers					discovering	discovered	discovers
discoverable		discoverably						
discoverer					discoverers			
discovery	discoveries				discoveries			
discredit	discredited,discrediting,discredits				discredits	discrediting	discredited	discredits
discreditable		discreditably						
discreet		discreetly	discreeter,discreetest					
discrepancy	discrepancies				discrepancies			
discrepant		discrepantly		discrepance				
discrete		discretely						
discretional		discretionally						
discretionary		discretionarily						
discriminable		discriminably						
discriminate	discriminated,discriminates,discriminating	discriminately				discriminating	discriminated	discriminates
discriminating		discriminatingly						
discrimination					discriminations			
discriminative		discriminatively						
discriminator					discriminators			
discriminatory		discriminatorily						
discursive		discursively						
discus	disci,discuses				disci			
discuss	discussed,discusses,discussing					discussing	discussed	discusses
discussant					discussants			
discussion	discussions				discussions			
disdain	disdained,disdaining,disdains				disdains	disdaining	disdained	disdains
disdainful		disdainfully						
disease	diseases				diseases			
diseased		diseasedly						
disembark	disembarked,disembarking,disembarks					disembarking	disembarked	disembarks
disembarkation					disembarkations			
disembarrass							disembarrassed	
disembody						disembodying	disembodied	disembodies
disembowel	disembowelled,disembowelling,disembowels					disemboweling,disembowelling	disembowelled	disembowels
disembowelment					disembowelments			
disempower	disempowered,disempowering,disempowers							
disenable						disenabling	disenabled	
disenchant						disenchanting	disenchanted	disenchants
disenchanting		disenchantingly						
disenchantment					disenchantments			
disencumber						disencumbering	disencumbered	disencumbers
disenfranchise	disenfranchised,disenfranchises,disenfranchising					disenfranchising	disenfranchised	disenfranchises
disenfranchisement					disenfranchisements			
disengage	disengaged,disengages,disengaging					disengaging	disengaged	disengages
disengagement					disengagements			
disentangle	disentangled,disentangles,disentangling					disentangling	disentangled	disentangles
disentanglement					disentanglements			
disequilibrium	disequilibria,disequilibriums				disequilibriums			
disestablish	disestablished,disestablishes,disestablishing					disestablishing	disestablished	disestablishes
disesteem						disesteeming	disesteemed	
disfavor					disfavors	disfavoring	disfavored	disfavors
disfavour						disfavouring	disfavoured	
disfigure	disfigured,disfigures,disfiguring					disfiguring	disfigured	disfigures
disfigurement					disfigurements			
disfranchise						disfranchising	disfranchised	disfranchises
disfranchisement					disfranchisements			
disfunction					disfunctions			
disgorge	disgorged,disgorges,disgorging					disgorging	disgorged	disgorges
disgrace	disgraced,disgraces,disgracing				disgraces	disgracing	disgraced	disgraces
disgraceful		disgracefully						
disgruntle						disgruntling	disgruntled	disgruntles
disguise	disguised,disguises,disguising				disguises	disguising	disguised	disguises
disguised		disguisedly						
disgust	disgusted,disgusting,disgusts				disgusts	disgusting	disgusted	disgusts
disgusted		disgustedly						
disgustful		disgustfully						
disgusting		disgustingly						
dish	dished,dishes,dishing				dishes	dishing	dished	dishes
disharmonize						disharmonizing	disharmonized	
disharmony					disharmonies			
dishcloth	dishcloths				dishcloths			
dishearten	disheartened,disheartening,disheartens					disheartening	disheartened	disheartens
disheartened		disheartenedly						
disheartening		dishearteningly						
dishevel						disheveling,dishevelling	dishevelled	dishevels
dishful					dishfuls			
dishonest		dishonestly						
dishonesty					dishonesties			
dishonor	dishonored,dishonoring,dishonors				dishonors	dishonoring	dishonored	dishonors
dishonorable		dishonorably						
dishonour						dishonouring	dishonoured	
dishonourable		dishonourably						
dishpan	dishpans				dishpans			
dishrag	dishrags				dishrags			
dishtowel	dishtowels				dishtowels			
dishware					dishwares			
dishwasher	dishwashers				dishwashers			
dishwashing					dishwashings			
dishy			dishier,dishiest					
disillusion	disillusioned,disillusioning,disillusions				disillusions	disillusioning	disillusioned	disillusions
disillusionment					disillusionments			
disincentive	disincentives							
disinclination	disinclinations				disinclinations			
disincline						disinclining	disinclined	disinclines
disinfect	disinfected,disinfecting,disinfects					disinfecting	disinfected	disinfects
disinfectant	disinfectants				disinfectants			
disinfection					disinfections			
disingenuous		disingenuously						
disinherit	disinherited,disinheriting,disinherits					disinheriting	disinherited	disinherits
disinheritance					disinheritances			
disintegrate	disintegrated,disintegrates,disintegrating					disintegrating	disintegrated	disintegrates
disintegration					disintegrations			
disinter	disinterred,disinterring,disinters					disinterring	disinterred	disinters
disinterested		disinterestedly						
disinvite	disinvited,disinvites,disinviting							
disjoin						disjoining	disjoined	disjoins
disjoint		disjointly				disjointing	disjointed	disjoints
disjointed		disjointedly						
disjunction	disjunctions				disjunctions			
disjunctive		disjunctively						
disk	disks				disks	disking	disked	disks
diskette	diskettes				diskettes			
dislike	disliked,dislikes,disliking				dislikes	disliking	disliked	dislikes
dislocate	dislocated,dislocates,dislocating					dislocating	dislocated	dislocates
dislocated		dislocatedly						
dislocation	dislocations				dislocations			
dislodge	dislodged,dislodges,dislodging					dislodging	dislodged	dislodges
disloyal		disloyally						
disloyalty					disloyalties			
dismal		dismally	dismaler,dismalest	dismality				
dismantle	dismantled,dismantles,dismantling					dismantling	dismantled	dismantles
dismay	dismayed,dismaying,dismays				dismays	dismaying	dismayed	dismays
dismaying		dismayingly						
dismember	dismembered,dismembering,dismembers					dismembering	dismembered	dismembers
dismemberment					dismemberments			
dismiss	dismissed,dismisses,dismissing					dismissing	dismissed	dismisses
dismissal	dismissals				dismissals			
dismount	dismounted,dismounting,dismounts				dismounts	dismounting	dismounted	dismounts
disobedient		disobediently		disobedience				
disobey	disobeyed,disobeying,disobeys					disobeying	disobeyed	disobeys
disoblige						disobliging	disobliged	disobliges
disobliging		disobligingly						
disorder	disorders				disorders	disordering	disordered	disorders
disordered		disorderedly						
disorderly				disorderliness				
disorganise						disorganising	disorganised	
disorganize						disorganizing	disorganized	disorganizes
disorient	disoriented,disorienting,disorients					disorienting	disoriented	disorients
disorientate						disorientating	disorientated	disorientates
disown	disowned,disowning,disowns					disowning	disowned	disowns
disparage	disparaged,disparages,disparaging					disparaging	disparaged	disparages
disparagement					disparagements			
disparaging		disparagingly						
disparate		disparately						
disparity					disparities			
dispassionate		dispassionately						
dispatch	dispatched,dispatches,dispatching				dispatches	dispatching	dispatched	dispatches
dispatcher	dispatchers				dispatchers			
dispel	dispelled,dispelling,dispels					dispelling	dispelled	dispels
dispensary	dispensaries				dispensaries			
dispensation	dispensations				dispensations			
dispense	dispensed,dispenses,dispensing					dispensing	dispensed	dispenses
dispenser	dispensers				dispensers			
dispersal					dispersals			
disperse	dispersed,disperses,dispersing					dispersing	dispersed	disperses
dispersed		dispersedly						
dispersion					dispersions			
dispersive		dispersively						
dispirit						dispiriting	dispirited	dispirits
dispirited		dispiritedly						
dispiriting		dispiritingly						
displace	displaced,displaces,displacing					displacing	displaced	displaces
displacement	displacements				displacements			
display	displayed,displaying,displays				displays	displaying	displayed	displays
displease	displeased,displeases,displeasing					displeasing	displeased	displeases
displeased		displeasedly						
displeasing		displeasingly						
displeasure					displeasures			
displume						displuming	displumed	displumes
disport	disported,disporting,disports					disporting	disported	disports
disposal	disposals				disposals			
dispose	disposed,disposes,disposing					disposing	disposed	disposes
disposed		disposedly						
disposition	dispositions				dispositions			
dispossess	dispossessed,dispossesses,dispossessing					dispossessing	dispossessed	dispossesses
dispread						dispreading		dispreads
disproof					disproofs			
disproportion	disproportions				disproportions			
disproportional		disproportionally		disproportionality				
disproportionate		disproportionately						
disprove	disproved,disproves,disproving					disproving	disproved	disproves
disputable		disputably						
disputant					disputants			
disputation	disputations				disputations			
disputatious		disputatiously						
disputative		disputatively						
dispute	disputed,disputes,disputing				disputes	disputing	disputed	disputes
disqualification	disqualifications				disqualifications			
disqualify	disqualified,disqualifies,disqualifying					disqualifying	disqualified	disqualifies
disquiet					disquiets	disquieting	disquieted	disquiets
disquieted		disquietedly						
disquieting		disquietingly						
disquietude					disquietudes			
disquisition					disquisitions			
disregard	disregarded,disregarding,disregards				disregards	disregarding	disregarded	disregards
disreputable		disreputably						
disrespect	disrespected,disrespecting,disrespects							
disrespectful		disrespectfully						
disrobe	disrobed,disrobes,disrobing					disrobing	disrobed	disrobes
disrupt	disrupted,disrupting,disrupts					disrupting	disrupted	disrupts
disruption	disruptions				disruptions			
disruptive		disruptively						
diss	dissed,disses,dissing							
dissatisfaction					dissatisfactions			
dissatisfactory		dissatisfactorily		dissatisfactoriness				
dissatisfied		dissatisfiedly						
dissatisfy	dissatisfied,dissatisfying					dissatisfying	dissatisfied	dissatisfies
dissect	dissected,dissecting,dissects					dissecting	dissected	dissects
dissection	dissections				dissections			
dissemble	dissembled,dissembles,dissembling					dissembling	dissembled	dissembles
dissembler					dissemblers			
disseminate	disseminated,disseminates,disseminating					disseminating	disseminated	disseminates
dissemination					disseminations			
dissension	dissensions				dissensions			
dissent	dissented,dissenting,dissents				dissents	dissenting	dissented	dissents
dissenter	dissenters				dissenters			
dissentient		dissentiently		dissentience				
dissenting		dissentingly						
dissentious		dissentiously						
dissertate						dissertating	dissertated	
dissertation	dissertations				dissertations			
disservice					disservices			
dissever						dissevering	dissevered	dissevers
dissident	dissidents	dissidently		dissidence	dissidents			
dissilient				dissilience				
dissimilar		dissimilarly		dissimilarity				
dissimilarity	dissimilarities				dissimilarities			
dissimilate						dissimilating	dissimilated	
dissimulate	dissimulated,dissimulates,dissimulating					dissimulating	dissimulated	dissimulates
dissimulation					dissimulations			
dissimulator					dissimulators			
dissipate	dissipated,dissipates,dissipating					dissipating	dissipated	dissipates
dissipated		dissipatedly						
dissipation					dissipations			
dissociable		dissociably						
dissociate	disassociate,dissociated,dissociates,dissociating					dissociating	dissociated	dissociates
dissociation					dissociations			
dissolute		dissolutely						
dissolution					dissolutions			
dissolve	dissolved,dissolves,dissolving				dissolves	dissolving	dissolved	dissolves
dissonance					dissonances			
dissonant		dissonantly		dissonance				
dissuade	dissuaded,dissuades,dissuading					dissuading	dissuaded	dissuades
dissuasion					dissuasions			
dissuasive		dissuasively						
distaff	distaffs				distaffs			
distal		distally						
distance	distanced,distances,distancing				distances	distancing	distanced	distances
distant		distantly		distance				
distaste					distastes			
distasteful		distastefully						
distemper						distempering	distempered	
distend	distended,distending,distends					distending	distended	distends
distension					distensions			
distention					distentions			
distich					distichs			
distil								distils
distill	distills							distills
distillate	distillates				distillates			
distillation	distillations				distillations			
distiller	distillers				distillers			
distillery	distilleries				distilleries			
distinct		distinctly	distincter,distinctest	distinctity				
distinction	distinctions				distinctions			
distinctive		distinctively						
distinguish	distinguished,distinguishes,distinguishing					distinguishing	distinguished	distinguishes
distinguishable		distinguishably						
distinguished		distinguishedly						
distort	distorted,distorting,distorts					distorting	distorted	distorts
distorted		distortedly						
distortion	distortions				distortions			
distract	distracted,distracting,distracts					distracting	distracted	distracts
distracted		distractedly						
distraction	distractions				distractions			
distrain						distraining	distrained	distrains
distraught		distraughtly						
distress	distressed,distresses,distressing				distresses	distressing	distressed	distresses
distressed		distressedly						
distressful		distressfully						
distressing		distressingly						
distributary					distributaries			
distribute	distributed,distributes,distributing					distributing	distributed	distributes
